name,search_term,description,icon,symbol
GameStop Corp,GME stock,Gaming retailer - Meme stock phenomenon,🎮,GME
AMC Entertainment,AMC stock,Movie theater chain - Retail investor favorite,🎬,AMC
Bed Bath & Beyond,BBBY stock,Home goods retailer - Bankruptcy risk,🛏️,BBBY
Nokia,NOK stock,Finnish telecom - 5G infrastructure,📱,NOK
BlackBerry,BB stock,Canadian tech - Cybersecurity pivot,📱,BB
Apple Inc,AAPL stock,iPhone maker - World's largest company,🍎,AAPL
Microsoft Corp,MSFT stock,Software giant - Cloud computing leader,💻,MSFT
Alphabet Inc,GOOGL stock,Google parent - Search and AI dominance,🔍,GOOGL
Amazon.com Inc,AMZN stock,E-commerce and cloud giant,📦,AMZN
Meta Platforms,META stock,Facebook parent - Metaverse focus,📱,META
Tesla Inc,TSLA stock,Electric vehicle pioneer,🚗,TSLA
NVIDIA Corp,NVDA stock,AI and graphics chip leader,🎮,NVDA
Rivian Automotive,RIVN stock,Electric truck startup,🚙,RIVN
Lucid Group,LCID stock,Luxury electric vehicles,🚙,LCID
NIO Inc,NIO stock,Chinese electric vehicle maker,🚙,NIO
Nikola Corp,NKLA stock,Electric truck company,🚛,NKLA
Coinbase Global,COIN stock,Cryptocurrency exchange,₿,COIN
Block Inc,SQ stock,Payment processor (formerly Square),💳,SQ
PayPal Holdings,PYPL stock,Digital payments giant,💰,PYPL
Robinhood Markets,HOOD stock,Commission-free trading app,📈,HOOD
Netflix Inc,NFLX stock,Streaming entertainment leader,📺,NFLX
Walt Disney Co,DIS stock,Entertainment and media conglomerate,🏰,DIS
Roblox Corp,RBLX stock,Gaming platform for kids,🎲,RBLX
Spotify Technology,SPOT stock,Music streaming service,🎵,SPOT
JPMorgan Chase,JPM stock,Largest US bank,🏦,JPM
Bank of America,BAC stock,Major US retail bank,🏦,BAC
Berkshire Hathaway,BRK.A stock,Warren Buffett's investment company,💰,BRK.A
American Airlines,AAL stock,Major US airline,✈️,AAL
Delta Air Lines,DAL stock,Premium US airline,✈️,DAL
Airbnb Inc,ABNB stock,Home-sharing platform,🏠,ABNB
Uber Technologies,UBER stock,Ride-sharing and delivery,🚕,UBER
Exxon Mobil,XOM stock,Oil and gas giant,⛽,XOM
Chevron Corp,CVX stock,Integrated oil company,⛽,CVX
SPDR S&P 500,SPY stock,S&P 500 index fund,📊,SPY
Invesco QQQ,QQQ stock,NASDAQ-100 index fund,📊,QQQ
ARK Innovation,ARKK stock,Disruptive innovation ETF,🚀,ARKK
