name,search_term,description,icon,iso_code
United States,United States,Leading global superpower,🇺🇸,US
China,China,World's most populous country,🇨🇳,CN
Russia,Russia,Largest country by land area,🇷🇺,RU
India,India,World's largest democracy,🇮🇳,IN
United Kingdom,United Kingdom,Historic global power,🇬🇧,GB
France,France,Cultural and political influence,🇫🇷,FR
Germany,Germany,Economic powerhouse of Europe,🇩🇪,DE
Japan,Japan,Technological innovation leader,🇯🇵,JP
Brazil,Brazil,Largest South American economy,🇧🇷,BR
Canada,Canada,Northern neighbor of USA,🇨🇦,CA
Australia,Australia,Oceanic continent nation,🇦🇺,AU
South Korea,South Korea,K-pop and technology hub,🇰🇷,KR
Italy,Italy,Mediterranean cultural center,🇮🇹,IT
Spain,Spain,Iberian Peninsula nation,🇪🇸,ES
Mexico,Mexico,North American neighbor,🇲🇽,MX
Turkey,Turkey,Bridge between Europe and Asia,🇹🇷,TR
Iran,Iran,Middle Eastern regional power,🇮🇷,IR
Saudi Arabia,Saudi Arabia,Oil-rich kingdom,🇸🇦,SA
Israel,Israel,Middle Eastern democracy,🇮🇱,IL
Egypt,Egypt,Ancient civilization hub,🇪🇬,EG
Netherlands,Netherlands,Progressive European nation,🇳🇱,NL
Sweden,Sweden,Scandinavian welfare state,🇸🇪,SE
Norway,Norway,Oil-rich Nordic country,🇳🇴,NO
Denmark,Denmark,Viking heritage nation,🇩🇰,DK
Finland,Finland,Nordic tech hub,🇫🇮,FI
Switzerland,Switzerland,Alpine financial center,🇨🇭,CH
Belgium,Belgium,EU headquarters nation,🇧🇪,BE
Austria,Austria,Central European republic,🇦🇹,AT
Poland,Poland,Central European democracy,🇵🇱,PL
Czech Republic,Czech Republic,Heart of Europe,🇨🇿,CZ
Singapore,Singapore,Southeast Asian city-state,🇸🇬,SG
Thailand,Thailand,Southeast Asian kingdom,🇹🇭,TH
Vietnam,Vietnam,Rapidly developing nation,🇻🇳,VN
Philippines,Philippines,Island archipelago,🇵🇭,PH
Indonesia,Indonesia,World's largest archipelago,🇮🇩,ID
Malaysia,Malaysia,Multicultural Southeast Asian nation,🇲🇾,MY
Pakistan,Pakistan,South Asian nuclear power,🇵🇰,PK
Bangladesh,Bangladesh,Densely populated nation,🇧🇩,BD
South Africa,South Africa,Rainbow nation,🇿🇦,ZA
Nigeria,Nigeria,Most populous African nation,🇳🇬,NG
Kenya,Kenya,East African hub,🇰🇪,KE
Morocco,Morocco,North African kingdom,🇲🇦,MA
Argentina,Argentina,South American beef nation,🇦🇷,AR
Chile,Chile,Long Pacific coast nation,🇨🇱,CL
Colombia,Colombia,Coffee and culture nation,🇨🇴,CO
Peru,Peru,Ancient Incan homeland,🇵🇪,PE
Venezuela,Venezuela,Oil-rich troubled nation,🇻🇪,VE
Ukraine,Ukraine,Eastern European democracy at war,🇺🇦,UA
North Korea,North Korea,Isolated communist state,🇰🇵,KP
Cuba,Cuba,Caribbean communist island,🇨🇺,CU
Afghanistan,Afghanistan,Central Asian nation,🇦🇫,AF
Iraq,Iraq,Middle Eastern republic,🇮🇶,IQ
Syria,Syria,War-torn Middle Eastern nation,🇸🇾,SY
