name,search_term,description,icon,game_id
Fortnite,Fortnite,Epic's battle royale phenomenon,🎮,fortnite
PUBG,PUBG,PlayerUnknown's Battlegrounds,🎯,pubg
Apex Legends,Apex Legends,Respawn's hero shooter BR,🦸,apex
Warzone,Call of Duty Warzone,COD's battle royale mode,🔫,warzone
Minecraft,Minecraft,Microsoft's block-building phenomenon,⛏️,minecraft
Roblox,Roblox,User-generated gaming platform,🎲,roblox
Terraria,Terraria,2D sandbox adventure,🏗️,terraria
Call of Duty,Call of Duty,Activision's military shooter franchise,🔫,cod
Valorant,Valorant,Riot's tactical shooter,🎯,valorant
Counter-Strike,Counter-Strike,Valve's competitive FPS,💥,cs
Overwatch,Overwatch,Blizzard's hero shooter,🦸,overwatch
Rainbow Six Siege,Rainbow Six Siege,Ubisoft's tactical shooter,🛡️,r6
League of Legends,League of Legends,Riot's dominant MOBA,🏆,lol
Dota 2,Dota 2,Valve's complex MOBA,⚔️,dota2
World of Warcraft,World of Warcraft,Blizzard's legendary MMORPG,⚔️,wow
Final Fantasy XIV,Final Fantasy XIV,Square Enix's story-driven MMO,✨,ff14
Lost Ark,Lost Ark,Korean action MMORPG,🗡️,lostark
Elden Ring,Elden Ring,FromSoftware's open-world masterpiece,🗡️,eldenring
Dark Souls,Dark Souls,FromSoftware's challenging series,💀,darksouls
Cyberpunk 2077,Cyberpunk 2077,CD Projekt's futuristic RPG,🤖,cyberpunk
The Witcher 3,The Witcher 3,CD Projekt's fantasy epic,🐺,witcher3
Baldur's Gate 3,Baldur's Gate 3,Larian's D&D masterpiece,🎲,bg3
Grand Theft Auto,GTA,Rockstar's crime sandbox series,🚗,gta
Red Dead Redemption,Red Dead Redemption,Rockstar's western epic,🤠,rdr
The Elder Scrolls,Skyrim,Bethesda's fantasy RPG series,🐉,skyrim
Fallout,Fallout,Bethesda's post-apocalyptic series,☢️,fallout
FIFA,FIFA,EA's soccer simulation,⚽,fifa
NBA 2K,NBA 2K,2K's basketball simulation,🏀,nba2k
Madden NFL,Madden NFL,EA's football simulation,🏈,madden
Rocket League,Rocket League,Psyonix's car soccer game,🚗,rocketleague
Civilization VI,Civilization VI,Firaxis's turn-based strategy,🏛️,civ6
Age of Empires,Age of Empires,Microsoft's RTS series,🏰,aoe
StarCraft,StarCraft,Blizzard's sci-fi RTS,👽,starcraft
Dead by Daylight,Dead by Daylight,Behaviour's asymmetric horror,💀,dbd
Phasmophobia,Phasmophobia,Kinetic Games' ghost hunting,👻,phasmophobia
Resident Evil,Resident Evil,Capcom's survival horror series,🧟,residentevil
God of War,God of War,Sony's Norse mythology action,⚡,godofwar
The Last of Us,The Last of Us,Naughty Dog's zombie drama,🧟,tlou
Halo,Halo,Microsoft's sci-fi shooter,👨‍🚀,halo
Super Mario,Super Mario,Nintendo's platformer icon,🍄,mario
The Legend of Zelda,Zelda,Nintendo's adventure series,🗡️,zelda
Pokemon,Pokemon,Nintendo's monster collection,⚡,pokemon
Among Us,Among Us,InnerSloth's social deduction,🚀,amongus
Fall Guys,Fall Guys,Mediatonic's party game,🎪,fallguys
Stardew Valley,Stardew Valley,ConcernedApe's farming sim,🚜,stardew
Hollow Knight,Hollow Knight,Team Cherry's metroidvania,🦋,hollowknight
